text,label
监守自盗，芦溪三名电信施工队男子偷铁通电缆！！,0
财主集体出走！放话弄废毕加索！彻底封杀？大骂老毕死M玩意！冕徒乱斗心悦，哲家军冲频道：一刀睡你了吗？,0
大港公交943路公交线路调整,0
杨幂证实已离.婚，独自带娃！刘恺威曝光她本来面目......,1
"【提醒】个税调整后，网友晒工资表称""到手工资反而少了""？！真相是...",0
夜思 | 《爱情公寓》：贩卖情怀的行为最廉价,0
山东寿光洪水成灾，上游泄洪致灾还是救灾？水库方回应,0
乔四的江湖往事,0
事态升级！王思聪站队崔永元，曝出范冰冰背后3位干爹,0
李晨，和“金宝学圻家印”好像也没什么区别...,1
21岁大学生在父亲的怀里停止了呼吸，原因值得所有家长警醒！,0
台前县吴坝镇黄河滩区迁建成果初现，街亮了，家新了，腰包鼓了，昔日穷滩区，今日新城镇，国家扶贫攻坚与黄河迁建给农村带来新活力！,0
娱乐圈潜规则再现江湖:她陪导演3晚，保安都来了，声音惊动酒店,0
别了身份证！刚刚，国家正式宣布！,0
泪奔！淮海路、南京西路又在拆拆拆，全上海人最爱的马路正要消失...,0
超30亿名牌假货，从中国走私到国外门店售卖！老外、代购全都中招！！,0
有感海莉的辞职,0
美国的骗局！70年财富瞬间被洗劫一空！,0
85度C又双叒作妖！董事长打脸自家声明，还说大陆抵制很快就会平息？！,0
关注！海丰竟还有这样悲催的家庭...,0
国家重磅宣布：请为国生娃！,0
如果你看不准崔永元，那你该看看先知王朔怎么说,0
重磅！寿光又要建一所大医院！在你家附近吗？,0
夫妻双双触电身亡，被禁8年的插座你家还在用吗？,0
揭秘 | 对话内部员工：学训宝到底是什么情况？,0
干一架，湖人就算火箭宿敌啦？,0
惊了！范冰冰在监狱被打！内部视频流出！！！,1
日本代购圈乱象大曝光？,0
请东方卫视出来走两步——交大李博士的陈述,0
致敬那些曾为我们挺身而出的人，无论你们现在在哪里！,0
庞氏骗局云联惠彻底崩盘！你关心、质疑的问题都在这！,0
曝光！单县某村民意调查给“好评”可领油一桶！领导真是“大手笔”！,0
医学泰斗被撞身亡，凶手是一位性感护士！,1
海安饭店老板竟自备装备，变身电瓶大盗，盗取...,0
41岁刘涛外遇选择离婚，她将何去何从，朋友圈震惊...,1
这就是真相！邯郸人一定要看！成都4女孩自驾失控坠江，行车记录仪拍下可怕瞬间 ！,0
外卖的菜10天前做的？弱爆了！有半年前就做好了的.....,0
"法院终于判了: 停车位居民免费使用, 开发商无权租售!",0
姚明病逝！娱乐圈众星默哀，六小龄童发文悼念！,1
大局已定！国家印发通知，甘肃3地撤县设市！庆阳将迎来大发展...,0
� 又一 大 佬 - 唬 被 捕，现 场 被 抓，令 人 咂 舌！,0
黑A88888的车主到底是谁？一切终于真相大白…,0
政府出手：联璧金融案受害人开始登记，请勿耽误！,0
中国反腐风刮到阿根廷，这个美到让人瘫痪的女总统，因为8个本子摊上大事了,0
崔永元：我不会自杀！洗钱的铁证己妥善藏匿……,0
不就二胎嘛 我来指条明路,0
薛之谦当爸啦！小名：小雪(薛)糕(高)，C位出道！,0
一位ICU医生讲述：病房里的好男人，坏男人,0
十对明星的结婚证照，鹿晗和关晓彤的最丑，慢着鹿晗结婚？,0
并州之剑8月14日播出《积水深不过救援情 满满正能量诠释时代新人使命》,0
惨！日本遭25年来最强台风，“变态”一幕让人怀念：数百辆车打着双闪，冲向人间地狱···,0
疑似曾被赵忠祥性骚扰陷的董卿，终于含泪说出了隐藏12年儿子生父到底是谁!,1
我儿子绝对是游戏害死的！13岁男孩深夜玩“吃鸡”坠楼身亡,0
"戴维斯加盟雷霆,下赛季将身披34号球衣,从此不惧勇火!",0
“官民比”太高，为何裁员临时工？,0
惊艳全国！2018全国最适合养老的20座城市新鲜出炉，盐城竟然排第一!,0
梁文道：不保障女性权益，就别谈“催生”,0
爆料：林心如与霍建华宣布离婚,1
【揭秘】安徽2400岁大蟒，渡劫失败！,0
曝光！范冰冰监狱被打视频！,1
号外！他没有“颜品”和“颜品生活”商标 究竟是谁在冒充假颜品,0
点赞！长治县：有这样一个的人，身残志坚，勇做生活强者！,0
一横县驾校教练“丢脸丢到家了”？酒驾受重罚···,0
